,organization_id,createdAt,territories
408,502,2020-11,44
409,503,2020-11,44
410,504,2020-11,44
411,505,2020-11,44
412,506,2020-11,44
413,507,2020-11,44
414,508,2020-11,44
415,509,2020-11,44
416,510,2020-11,44
417,511,2020-11,44
418,512,2020-11,44
419,513,2020-11,44
420,514,2020-11,44
421,515,2020-11,44
422,517,2020-11,44
423,518,2020-11,44
424,519,2020-11,44
425,520,2020-11,44
426,521,2020-11,44
427,522,2020-11,44
428,523,2020-11,44
429,524,2020-11,44
430,525,2020-11,44
431,526,2020-11,44
432,527,2020-11,44
433,528,2020-11,44
434,530,2020-11,44
435,531,2020-11,44
436,532,2020-11,44
437,533,2020-11,44
438,534,2020-11,44
439,535,2020-11,44
440,536,2020-11,44
441,537,2020-11,44
442,538,2020-11,44
443,539,2020-11,44
444,540,2020-11,44
445,541,2020-11,44
446,542,2020-11,44
447,543,2020-11,44
448,544,2020-11,44
449,545,2020-11,44
450,546,2020-11,44
451,547,2020-11,44
452,548,2020-11,44
453,549,2020-11,44
454,550,2020-11,44
455,551,2020-11,44
456,552,2020-11,44
457,553,2020-11,44
458,554,2020-11,44
459,555,2020-11,44
460,556,2020-11,44
461,557,2020-11,44
462,558,2020-11,44
463,559,2020-11,44
464,560,2020-11,44
465,561,2020-11,44
466,562,2020-11,44
467,563,2020-11,44
468,564,2020-11,44
469,565,2020-11,44
470,566,2020-11,44
471,567,2020-11,44
472,568,2020-11,44
473,569,2020-11,44
474,570,2020-11,44
475,571,2020-11,44
476,573,2020-11,44
477,574,2020-11,44
478,575,2020-11,44
479,576,2020-11,44
480,577,2020-11,44
481,578,2020-11,44
482,579,2020-11,44
483,580,2020-11,44
484,581,2020-11,44
485,582,2020-11,44
486,583,2020-11,44
487,584,2020-11,44
488,585,2020-11,44
489,586,2020-11,44
490,587,2020-11,44
491,588,2020-11,44
492,589,2020-11,44
493,590,2020-11,44
494,591,2020-11,44
495,592,2020-11,44
496,593,2020-11,44
497,594,2020-11,44
498,595,2020-11,44
499,596,2020-11,44
500,597,2020-11,44
501,598,2020-11,44
502,599,2020-11,44
503,600,2020-11,44
504,601,2020-11,44
505,602,2020-11,44
506,603,2020-11,44
507,604,2020-11,44
508,605,2020-11,44
509,606,2020-11,44
510,607,2020-11,44
511,608,2020-11,44
512,609,2020-11,44
513,610,2020-11,44
514,611,2020-11,44
515,612,2020-11,44
516,613,2020-11,44
517,614,2020-11,44
518,615,2020-11,44
519,616,2020-11,44
520,617,2020-11,44
521,618,2020-11,44
522,619,2020-11,44
523,620,2020-11,44
524,621,2020-11,44
525,623,2020-11,44
526,624,2020-11,44
527,625,2020-11,44
528,626,2020-11,44
529,627,2020-11,44
530,628,2020-11,44
531,629,2020-11,44
532,630,2020-11,44
533,631,2020-11,44
534,632,2020-11,44
535,634,2020-11,44
536,636,2020-11,44
537,637,2020-11,44
538,639,2020-11,44
539,640,2020-11,44
540,641,2020-11,44
541,642,2020-11,44
542,643,2020-11,44
543,644,2020-11,44
544,645,2020-11,44
545,646,2020-11,44
546,647,2020-11,44
547,648,2020-11,44
548,650,2020-11,44
549,653,2020-11,44
550,656,2020-11,44
551,657,2020-11,44
552,658,2020-11,44
553,659,2020-11,44
554,660,2020-11,44
555,661,2020-11,44
556,662,2020-11,44
557,663,2020-11,44
558,664,2020-11,44
559,665,2020-11,44
560,666,2020-11,44
561,667,2020-11,44
562,668,2020-11,44
563,669,2020-11,44
564,670,2020-11,44
565,671,2020-11,44
566,672,2020-11,44
567,674,2020-11,44
568,676,2020-11,44
569,677,2020-11,44
570,678,2020-11,44
571,679,2020-11,44
572,680,2020-11,44
573,682,2020-11,44
574,684,2020-11,44
575,685,2020-11,44
576,686,2020-11,44
577,688,2020-11,44
578,689,2020-11,44
579,690,2020-11,44
580,691,2020-11,44
581,692,2020-11,44
582,693,2020-11,44
583,694,2020-11,44
584,695,2020-11,44
585,696,2020-11,44
586,697,2020-11,44
587,698,2020-11,44
588,699,2020-11,44
589,700,2020-11,44
590,701,2020-11,44
591,702,2020-11,44
592,703,2020-11,44
593,705,2020-11,44
594,706,2020-11,44
595,708,2020-11,44
596,709,2020-11,44
597,710,2020-11,44
598,711,2020-11,44
599,713,2020-11,44
600,714,2020-11,44
601,717,2020-11,44
602,718,2020-11,44
603,720,2020-11,44
604,722,2020-11,44
605,723,2020-11,44
606,724,2020-11,44
607,725,2020-11,44
608,727,2020-11,44
609,728,2020-11,44
610,729,2020-11,44
611,730,2020-11,44
612,731,2020-11,44
613,733,2020-11,44
614,734,2020-11,44
615,735,2020-11,44
616,736,2020-11,44
617,737,2020-11,44
618,740,2020-11,44
619,742,2020-11,44
620,745,2020-11,44
621,756,2020-11,44
622,757,2020-11,44
623,758,2020-11,44
624,762,2020-11,44
625,770,2020-11,44
626,773,2020-11,44
627,781,2020-11,44
628,782,2020-11,44
629,790,2020-11,44
630,793,2020-11,44
631,794,2020-11,44
632,826,2020-11,44
633,857,2020-11,44
634,863,2020-11,44
635,869,2020-11,44
636,870,2020-11,44
637,871,2020-11,44
638,872,2020-11,44
639,873,2020-11,44
640,875,2020-11,67
641,876,2020-11,67
642,877,2020-11,67
643,878,2020-11,67
644,879,2020-11,67
645,880,2020-11,67
646,881,2020-11,67
647,882,2020-11,67
648,883,2020-11,67
649,884,2020-11,67
650,885,2020-11,67
651,886,2020-11,67
652,887,2020-11,67
653,888,2020-11,67
654,889,2020-11,67
655,890,2020-11,67
656,891,2020-11,67
657,892,2020-11,67
658,893,2020-11,67
659,894,2020-11,67
660,895,2020-11,67
661,896,2020-11,67
662,897,2020-11,67
663,898,2020-11,67
664,899,2020-11,67
665,900,2020-11,67
666,901,2020-11,67
667,902,2020-11,67
668,903,2020-11,67
669,904,2020-11,67
670,905,2020-11,67
671,906,2020-11,67
672,907,2020-11,67
673,908,2020-11,67
674,909,2020-11,67
675,910,2020-11,67
676,911,2020-11,67
677,912,2020-11,67
678,913,2020-11,67
679,914,2020-11,67
680,915,2020-11,67
681,916,2020-11,67
682,917,2020-11,67
683,918,2020-11,67
684,919,2020-11,67
685,920,2020-11,67
686,921,2020-11,67
687,922,2020-11,67
688,923,2020-11,67
689,924,2020-11,67
690,925,2020-11,67
691,926,2020-11,67
692,927,2020-11,67
693,928,2020-11,67
694,929,2020-11,67
695,930,2020-11,67
696,931,2020-11,67
697,932,2020-11,67
698,933,2020-11,67
699,934,2020-11,67
700,935,2020-11,67
701,936,2020-11,67
702,937,2020-11,67
703,938,2020-11,67
704,939,2020-11,67
705,940,2020-11,67
706,941,2020-11,67
707,942,2020-11,67
708,943,2020-11,67
709,944,2020-11,67
710,945,2020-11,67
711,946,2020-11,67
712,947,2020-11,67
713,948,2020-11,67
714,949,2020-11,67
715,950,2020-11,67
716,951,2020-11,75
717,952,2020-11,75
718,953,2020-11,75
719,954,2020-11,75
720,955,2020-11,75
721,956,2020-11,75
722,957,2020-11,75
723,958,2020-11,75
724,959,2020-11,75
725,960,2020-11,75
726,962,2020-11,75
727,967,2020-11,75
728,968,2020-11,75
729,969,2020-11,75
730,970,2020-11,75
731,971,2020-11,75
732,973,2020-11,75
733,974,2020-11,75
734,975,2020-11,75
735,977,2020-11,75
736,978,2020-11,75
737,979,2020-11,75
738,980,2020-11,75
739,981,2020-11,75
740,982,2020-11,75
741,983,2020-11,75
742,984,2020-11,75
743,986,2020-11,75
744,987,2020-11,75
745,988,2020-11,75
746,990,2020-11,75
747,991,2020-11,75
748,992,2020-11,75
749,993,2020-11,75
750,995,2020-11,75
751,996,2020-11,75
752,997,2020-11,75
753,998,2020-11,75
754,999,2020-11,75
755,1000,2020-11,75
756,1001,2020-11,75
757,1002,2020-11,75
758,1003,2020-11,75
759,1004,2020-11,75
760,1006,2020-11,75
761,1007,2020-11,75
762,1008,2020-11,75
763,1009,2020-11,75
764,1010,2020-11,75
765,1011,2020-11,75
766,1012,2020-11,75
767,1013,2020-11,75
768,1014,2020-11,75
769,1016,2020-11,75
770,1017,2020-11,75
771,1018,2020-11,75
772,1019,2020-11,75
773,1020,2020-11,75
774,1023,2020-11,75
775,1024,2020-11,75
776,1025,2020-11,75
777,1026,2020-11,75
778,1027,2020-11,75
779,1028,2020-11,75
780,1030,2020-11,75
781,1031,2020-11,75
782,1032,2020-11,75
783,1033,2020-11,75
784,1034,2020-11,75
785,1035,2020-11,75
786,1036,2020-11,75
787,1037,2020-11,75
788,1038,2020-11,75
789,1039,2020-11,75
790,1040,2020-11,75
