,createdAt,territories,departement
2849,2021-05,['75'],75
2850,2021-05,['93'],93
2851,2021-05,['93'],93
2852,2021-05,['33'],33
2853,2021-05,['93'],93
2854,2021-05,['44'],44
2855,2021-05,['75'],75
2856,2021-05,['93'],93
2857,2021-05,['91'],91
2858,2021-05,['92'],92
2859,2021-05,['94'],94
2860,2021-05,['93'],93
2861,2021-05,['44'],44
2862,2021-05,['44'],44
2863,2021-05,['44'],44
2864,2021-05,['44'],44
2865,2021-05,['44'],44
2866,2021-05,['67'],67
2867,2021-05,['75'],75
2868,2021-05,['67'],67
2869,2021-05,['77'],77
2870,2021-05,['77'],77
2871,2021-05,['77'],77
2872,2021-05,['95'],95
2873,2021-05,['67'],67
2874,2021-05,['78'],78
2875,2021-05,['78'],78
2876,2021-05,['95'],95
2877,2021-05,['33'],33
2878,2021-05,['06'],06
2879,2021-05,['75'],75
2880,2021-05,['77'],77
2881,2021-05,['77'],77
2882,2021-05,['06'],06
2883,2021-05,['06'],06
2884,2021-05,['75'],75
2885,2021-05,['33'],33
2886,2021-05,['67'],67
2887,2021-05,['44'],44
2888,2021-05,['44'],44
2889,2021-05,['77'],77
2890,2021-05,['44'],44
2891,2021-05,['44'],44
2892,2021-05,['44'],44
2893,2021-05,['44'],44
2894,2021-05,['44'],44
2895,2021-05,['44'],44
2896,2021-05,['06'],06
2897,2021-05,['67'],67
2898,2021-05,['95'],95
2899,2021-05,['95'],95
2900,2021-05,['44'],44
2901,2021-05,['44'],44
2902,2021-05,['44'],44
2903,2021-05,['44'],44
2904,2021-05,['44'],44
2905,2021-05,['33'],33
2906,2021-05,['77'],77
2907,2021-05,['75'],75
2908,2021-05,['93'],93
2909,2021-05,['94'],94
2910,2021-05,['93'],93
2911,2021-05,['33'],33
2912,2021-06,['93'],93
2913,2021-06,['67'],67
2914,2021-06,['33'],33
2915,2021-06,['93'],93
2916,2021-06,['92'],92
2917,2021-06,['44'],44
2918,2021-06,['44'],44
2919,2021-06,['44'],44
2920,2021-06,['44'],44
2921,2021-06,['44'],44
2922,2021-06,['44'],44
2923,2021-06,['44'],44
2924,2021-06,['44'],44
2925,2021-06,['44'],44
2926,2021-06,['44'],44
2927,2021-06,['44'],44
2928,2021-06,['44'],44
2929,2021-06,['75'],75
2930,2021-06,['78'],78
2931,2021-06,['67'],67
2932,2021-06,['67'],67
2933,2021-06,['75'],75
2934,2021-06,['33'],33
2935,2021-06,['78'],78
2936,2021-06,['95'],95
2937,2021-06,['44'],44
2938,2021-06,['44'],44
2939,2021-06,['77'],77
2940,2021-06,['92'],92
2941,2021-06,['67'],67
2942,2021-06,['75'],75
2943,2021-06,['94'],94
2944,2021-06,['94'],94
2945,2021-06,['67'],67
2946,2021-06,['77'],77
2947,2021-06,['92'],92
2948,2021-06,['75'],75
2949,2021-06,['77'],77
2950,2021-06,['75'],75
2951,2021-06,['75'],75
2952,2021-06,['75'],75
2953,2021-06,['75'],75
2954,2021-06,['44'],44
2955,2021-06,['75'],75
2956,2021-06,['44'],44
2957,2021-06,['44'],44
2958,2021-06,['75'],75
2959,2021-06,['75'],75
2960,2021-06,['44'],44
2961,2021-06,['44'],44
2962,2021-06,['75'],75
2963,2021-06,['44'],44
2964,2021-06,['44'],44
2965,2021-06,['75'],75
2966,2021-06,['75'],75
2967,2021-06,['44'],44
2968,2021-06,['44'],44
2969,2021-06,['44'],44
2970,2021-06,['75'],75
2971,2021-06,['44'],44
2972,2021-06,['44'],44
2973,2021-06,['44'],44
2974,2021-06,['44'],44
2975,2021-06,['94'],94
2976,2021-06,['77'],77
2977,2021-06,['75'],75
2978,2021-06,['44'],44
2979,2021-06,['44'],44
2980,2021-06,['44'],44
2981,2021-06,['44'],44
2982,2021-06,['78'],78
2983,2021-06,['78'],78
2984,2021-06,['78'],78
2985,2021-06,['94'],94
2986,2021-06,['78'],78
2987,2021-06,['78'],78
2988,2021-06,['75'],75
2989,2021-06,['75'],75
2990,2021-06,['44'],44
2991,2021-06,['44'],44
2992,2021-06,['44'],44
2993,2021-06,['44'],44
2994,2021-06,['44'],44
2995,2021-06,['94'],94
2996,2021-06,['75'],75
2997,2021-06,['75'],75
2998,2021-06,['92'],92
2999,2021-06,['77'],77
3000,2021-06,['75'],75
3001,2021-06,['77'],77
3002,2021-06,['77'],77
3003,2021-06,['92'],92
3004,2021-06,['94'],94
3005,2021-06,['94'],94
3006,2021-06,['77'],77
3007,2021-06,['94'],94
3008,2021-06,['77'],77
3009,2021-06,['44'],44
3010,2021-06,['77'],77
3011,2021-06,['92'],92
3012,2021-06,['67'],67
3013,2021-06,['95'],95
3014,2021-06,['95'],95
3015,2021-06,['95'],95
3016,2021-06,['95'],95
