,departement,statut,Nb_services,territory
446,Paris,1,1,75
447,Paris,1,1,75
448,Paris,1,1,75
449,Paris,1,1,75
450,Paris,1,1,75
451,Paris,1,1,75
452,Paris,1,1,75
453,Paris,1,1,75
454,Paris,1,1,75
455,Paris,1,1,75
456,Paris,1,1,75
457,Paris,1,1,75
458,Paris,1,1,75
459,Paris,1,1,75
460,Paris,1,1,75
461,Paris,1,1,75
462,Paris,1,1,75
463,Paris,1,1,75
464,Paris,1,1,75
465,Paris,1,1,75
466,Paris,1,1,75
467,Paris,1,1,75
468,Paris,1,1,75
469,Paris,1,1,75
470,Paris,1,1,75
471,Paris,1,1,75
472,Paris,1,1,75
473,Paris,1,1,75
474,Paris,1,1,75
475,Paris,1,1,75
476,Paris,1,1,75
477,Paris,1,1,75
478,Paris,1,1,75
479,Paris,1,1,75
480,Paris,1,1,75
481,Paris,1,1,75
482,Paris,1,1,75
483,Paris,1,1,75
484,Paris,1,1,75
485,Paris,1,1,75
486,Paris,1,1,75
487,Paris,1,1,75
488,Paris,1,1,75
489,Paris,1,1,75
490,Paris,1,1,75
491,Paris,1,1,75
492,Paris,1,1,75
493,Paris,1,1,75
494,Paris,1,1,75
495,Paris,1,1,75
496,Paris,1,1,75
497,Paris,1,1,75
498,Paris,1,1,75
499,Paris,1,1,75
500,Paris,1,1,75
501,Paris,1,1,75
502,Paris,1,1,75
503,Paris,1,1,75
504,Paris,1,1,75
505,Paris,1,1,75
506,Paris,1,1,75
507,Paris,1,1,75
508,Paris,1,1,75
509,Paris,1,1,75
510,Paris,1,1,75
511,Paris,1,1,75
512,Paris,1,1,75
513,Paris,1,1,75
514,Paris,1,1,75
515,Paris,1,1,75
516,Paris,1,1,75
517,Paris,1,1,75
518,Paris,1,1,75
519,Paris,1,1,75
520,Paris,1,1,75
521,Paris,1,1,75
522,Paris,1,1,75
523,Paris,1,1,75
524,Paris,1,1,75
525,Paris,1,1,75
526,Paris,1,1,75
527,Paris,1,1,75
528,Paris,1,1,75
529,Paris,1,1,75
530,Paris,1,1,75
531,Paris,1,1,75
532,Paris,1,1,75
533,Paris,1,1,75
534,Paris,1,1,75
535,Paris,1,1,75
536,Paris,1,1,75
537,Paris,1,1,75
538,Paris,1,1,75
539,Paris,1,1,75
540,Paris,1,1,75
541,Paris,1,1,75
542,Paris,1,1,75
543,Paris,1,1,75
544,Paris,1,1,75
545,Paris,1,1,75
546,Paris,1,1,75
547,Paris,1,1,75
548,Paris,1,1,75
549,Paris,1,1,75
550,Paris,1,1,75
551,Paris,1,1,75
552,Paris,1,1,75
553,Paris,1,1,75
554,Paris,1,2,75
555,Paris,1,1,75
556,Paris,1,1,75
557,Paris,1,1,75
558,Paris,1,1,75
559,Paris,1,1,75
560,Paris,1,1,75
561,Paris,1,1,75
562,Paris,1,1,75
563,Paris,1,1,75
564,Paris,1,1,75
565,Paris,1,1,75
566,Paris,1,1,75
567,Paris,1,1,75
568,Paris,1,1,75
569,Paris,1,1,75
570,Paris,1,1,75
571,Paris,1,1,75
572,Paris,1,1,75
573,Paris,1,1,75
574,Paris,1,1,75
575,Paris,1,1,75
576,Paris,1,1,75
577,Paris,1,1,75
578,Paris,1,1,75
579,Paris,1,1,75
580,Paris,1,1,75
581,Paris,1,1,75
582,Paris,1,1,75
583,Paris,1,1,75
584,Paris,1,1,75
585,Paris,1,1,75
586,Paris,1,1,75
587,Paris,1,1,75
588,Paris,1,1,75
589,Paris,1,1,75
590,Paris,1,1,75
591,Paris,1,1,75
592,Paris,1,1,75
593,Paris,1,1,75
594,Paris,1,1,75
595,Paris,1,1,75
596,Paris,1,1,75
597,Paris,1,1,75
598,Paris,1,1,75
599,Paris,1,1,75
600,Paris,1,1,75
601,Paris,1,1,75
602,Paris,1,1,75
603,Paris,1,1,75
604,Paris,1,1,75
605,Paris,1,1,75
606,Paris,1,1,75
607,Paris,1,1,75
608,Paris,1,1,75
609,Paris,1,1,75
610,Paris,1,1,75
611,Paris,1,1,75
612,Paris,1,1,75
613,Paris,1,1,75
614,Paris,1,1,75
615,Paris,1,1,75
616,Paris,1,1,75
617,Paris,1,1,75
618,Paris,1,1,75
619,Paris,1,1,75
620,Paris,1,1,75
621,Paris,1,1,75
622,Paris,1,1,75
623,Paris,1,1,75
624,Paris,1,1,75
625,Paris,1,1,75
626,Paris,1,1,75
627,Paris,1,1,75
628,Paris,1,1,75
629,Paris,1,1,75
630,Paris,1,1,75
631,Paris,1,1,75
632,Paris,1,1,75
633,Paris,1,1,75
634,Paris,1,1,75
635,Paris,1,1,75
636,Paris,1,1,75
637,Paris,1,1,75
638,Paris,1,1,75
639,Paris,1,1,75
640,Paris,1,1,75
641,Paris,1,1,75
642,Paris,1,1,75
643,Paris,1,1,75
644,Paris,0,1,75
645,Paris,1,1,75
646,Paris,1,1,75
647,Paris,1,1,75
648,Paris,1,1,75
649,Paris,1,1,75
650,Paris,1,1,75
651,Paris,1,1,75
652,Paris,1,1,75
653,Paris,1,1,75
654,Paris,1,1,75
655,Paris,1,1,75
656,Paris,1,1,75
657,Paris,1,1,75
658,Paris,1,1,75
659,Paris,1,1,75
660,Paris,1,1,75
661,Paris,1,1,75
662,Paris,1,1,75
663,Paris,1,1,75
664,Paris,1,1,75
665,Paris,1,1,75
666,Paris,1,1,75
667,Paris,1,1,75
668,Paris,1,1,75
669,Paris,1,1,75
670,Paris,1,1,75
671,Paris,1,1,75
672,Paris,1,1,75
673,Paris,1,1,75
674,Paris,1,1,75
675,Paris,1,1,75
676,Paris,1,1,75
677,Paris,1,1,75
678,Paris,1,1,75
679,Paris,1,1,75
680,Paris,1,1,75
681,Paris,1,1,75
682,Paris,1,1,75
683,Paris,1,1,75
684,Paris,1,1,75
685,Paris,1,1,75
686,Paris,1,1,75
687,Paris,1,1,75
688,Paris,1,1,75
689,Paris,1,1,75
690,Paris,1,1,75
691,Paris,1,1,75
692,Paris,1,1,75
693,Paris,1,1,75
694,Paris,1,1,75
695,Paris,1,1,75
696,Paris,1,1,75
697,Paris,1,1,75
698,Paris,1,1,75
699,Paris,1,1,75
700,Paris,1,1,75
701,Paris,1,1,75
702,Paris,1,1,75
703,Paris,1,1,75
704,Paris,1,1,75
705,Paris,1,1,75
706,Paris,1,1,75
707,Paris,1,1,75
708,Paris,1,1,75
709,Paris,1,1,75
710,Paris,1,1,75
711,Paris,1,1,75
712,Paris,1,1,75
713,Paris,1,1,75
714,Paris,1,1,75
715,Paris,1,1,75
716,Paris,1,1,75
717,Paris,1,1,75
718,Paris,1,1,75
719,Paris,1,1,75
720,Paris,1,1,75
721,Paris,1,1,75
722,Paris,1,1,75
723,Paris,1,1,75
724,Paris,1,1,75
