,territories,status
1314,78,PRO
1315,93,PRO
1316,33,PRO
1317,93,PRO
1318,94,PRO
1319,75,PRO
1320,77,PRO
1321,06,PRO
1322,93,PRO
1323,77,PRO
1324,95,PRO
1325,95,PRO
1326,77,PRO
1327,77,PRO
1328,75,PRO
1329,77,PRO
1330,33,PRO
1331,06,PRO
1332,77,PRO
1333,06,PRO
1334,78,PRO
1335,06,PRO
1336,13,ADMIN_SOLIGUIDE
1337,"07,26",ADMIN_SOLIGUIDE
1338,"15,63",ADMIN_SOLIGUIDE
1339,44,PRO
1340,06,PRO
1341,06,PRO
1342,78,PRO
1343,77,PRO
1344,77,PRO
1345,75,PRO
1346,78,PRO
1347,77,PRO
1348,33,PRO
1349,77,PRO
1350,91,PRO
1351,33,PRO
1352,94,PRO
1353,77,PRO
1354,06,PRO
1355,33,PRO
1356,77,PRO
1357,77,PRO
1358,91,PRO
1359,06,PRO
1360,77,PRO
1361,06,PRO
1362,33,PRO
1363,06,PRO
1364,91,PRO
1365,94,PRO
1366,78,PRO
1367,77,PRO
1368,75,PRO
1369,92,PRO
1370,75,PRO
1371,92,PRO
1372,92,PRO
1373,78,PRO
1374,78,PRO
1375,78,PRO
1376,92,PRO
1377,75,PRO
1378,06,PRO
1379,77,PRO
1380,06,PRO
1381,33,PRO
1382,91,PRO
1383,94,PRO
1384,00,API_USER
1385,33,PRO
1386,77,PRO
1387,95,PRO
1388,06,PRO
1389,94,PRO
1390,"95,78",PRO
1391,77,PRO
1392,93,PRO
1393,92,PRO
1394,13,ADMIN_SOLIGUIDE
1395,94,PRO
1396,78,PRO
1397,95,PRO
1398,13,PRO
1399,75,PRO
1400,75,PRO
1401,75,PRO
1402,75,PRO
1403,75,PRO
1404,67,PRO
1405,67,PRO
1406,67,PRO
1407,67,PRO
1408,67,PRO
1409,67,PRO
1410,67,PRO
1411,67,PRO
1412,67,PRO
1413,67,PRO
1414,67,PRO
1415,67,PRO
1416,67,PRO
1417,67,PRO
1418,67,PRO
1419,67,PRO
1420,67,PRO
1421,67,PRO
1422,67,PRO
1423,67,PRO
1424,67,PRO
1425,67,PRO
1426,67,PRO
1427,67,PRO
1428,67,PRO
1429,33,PRO
1430,33,PRO
1431,92,PRO
1432,92,PRO
1433,92,PRO
1434,92,PRO
1435,92,PRO
1436,92,PRO
1437,92,PRO
1438,92,PRO
1439,92,PRO
1440,92,PRO
1441,92,PRO
1442,92,PRO
1443,92,PRO
1444,92,PRO
1445,92,PRO
1446,92,PRO
1447,92,PRO
1448,92,PRO
1449,92,PRO
1450,92,PRO
1451,92,PRO
1452,92,PRO
1453,92,PRO
1454,92,PRO
1455,92,PRO
1456,92,PRO
1457,92,PRO
1458,92,PRO
1459,92,PRO
1460,92,PRO
1461,92,PRO
1462,92,PRO
1463,92,PRO
1464,92,PRO
1465,92,PRO
1466,92,PRO
1467,92,PRO
1468,92,PRO
1469,92,PRO
1470,92,PRO
1471,92,PRO
1472,92,PRO
1473,92,PRO
1474,92,PRO
1475,92,PRO
1476,92,PRO
1477,92,PRO
1478,92,PRO
1479,92,PRO
1480,92,PRO
1481,92,PRO
1482,92,PRO
1483,92,PRO
1484,92,PRO
1485,92,PRO
1486,92,PRO
1487,92,PRO
1488,92,PRO
1489,92,PRO
1490,92,PRO
1491,92,PRO
1492,92,PRO
1493,92,PRO
1494,92,PRO
1495,92,PRO
1496,92,PRO
1497,92,PRO
1498,92,PRO
1499,92,PRO
1500,92,PRO
1501,92,PRO
1502,92,PRO
1503,92,PRO
1504,92,PRO
1505,92,PRO
1506,92,PRO
1507,92,PRO
1508,92,PRO
1509,92,PRO
1510,92,PRO
1511,92,PRO
1512,92,PRO
1513,92,PRO
1514,92,PRO
1515,92,PRO
1516,92,PRO
1517,92,PRO
1518,92,PRO
1519,92,PRO
1520,92,PRO
1521,92,PRO
1522,92,PRO
1523,92,PRO
1524,92,PRO
1525,92,PRO
1526,92,PRO
1527,92,PRO
1528,92,PRO
1529,92,PRO
1530,92,PRO
1531,92,PRO
1532,92,PRO
1533,92,PRO
1534,92,PRO
1535,92,PRO
1536,92,PRO
1537,92,PRO
1538,92,PRO
1539,92,PRO
1540,92,PRO
1541,92,PRO
1542,92,PRO
1543,92,PRO
1544,92,PRO
1545,92,PRO
1546,92,PRO
1547,92,PRO
1548,92,PRO
1549,92,PRO
1550,92,PRO
1551,92,PRO
1552,92,PRO
1553,92,PRO
1554,92,PRO
1555,92,PRO
1556,92,PRO
1557,92,PRO
1558,92,PRO
1559,92,PRO
1560,92,PRO
1561,92,PRO
1562,92,PRO
1563,92,PRO
1564,92,PRO
1565,92,PRO
1566,92,PRO
1567,92,PRO
1568,92,PRO
1569,92,PRO
1570,92,PRO
1571,92,PRO
1572,92,PRO
1573,92,PRO
1574,92,PRO
1575,92,PRO
1576,92,PRO
1577,92,PRO
1578,92,PRO
1579,92,PRO
1580,92,PRO
1581,92,PRO
1582,92,PRO
1583,92,PRO
1584,92,PRO
1585,92,PRO
1586,92,PRO
1587,92,PRO
1588,92,PRO
1589,92,PRO
1590,92,PRO
1591,92,PRO
1592,92,PRO
1593,92,PRO
1594,92,PRO
1595,92,PRO
1596,92,PRO
1597,92,PRO
1598,92,PRO
1599,92,PRO
1600,92,PRO
1601,92,PRO
1602,92,PRO
1603,92,PRO
1604,92,PRO
1605,92,PRO
1606,92,PRO
1607,92,PRO
1608,92,PRO
1609,92,PRO
1610,92,PRO
1611,92,PRO
1612,92,PRO
1613,92,PRO
1614,92,PRO
1615,92,PRO
1616,92,PRO
1617,92,PRO
1618,92,PRO
1619,92,PRO
