,createdAt,territory,COUNT
2357,2020-11,94,2
2358,2020-11,94,0
2359,2020-11,94,0
2360,2020-11,94,0
2361,2020-11,94,0
2362,2020-11,94,0
2363,2020-11,94,0
2364,2020-11,94,0
2365,2020-11,94,0
2366,2020-11,94,1
2367,2020-11,94,0
2368,2020-11,94,0
2369,2020-11,94,0
2370,2020-11,94,0
2371,2020-11,94,0
2372,2020-11,94,0
2373,2020-11,94,0
2374,2020-11,94,1
2375,2020-11,94,2
2376,2020-11,94,1
2377,2020-11,94,1
2378,2020-11,94,0
2379,2020-11,94,0
2380,2020-11,94,1
2381,2020-11,94,1
2382,2020-11,94,0
2383,2020-11,94,0
2384,2020-11,94,0
2385,2020-11,94,0
2386,2020-11,94,0
2387,2020-11,94,0
2388,2020-11,94,1
2389,2020-11,94,1
2390,2020-11,94,0
2391,2020-11,94,0
2392,2020-11,94,0
2393,2020-11,94,0
2394,2020-11,94,0
2395,2020-11,94,1
2396,2020-11,94,0
2397,2020-11,94,1
2398,2020-11,94,1
2399,2020-11,94,1
2400,2020-11,94,0
2401,2020-11,94,0
2402,2020-11,94,0
2403,2020-11,94,0
2404,2020-11,94,1
2405,2020-11,94,1
2406,2020-11,94,0
2407,2020-11,94,1
2408,2020-11,94,1
2409,2020-11,94,0
2410,2020-11,94,0
2411,2020-11,94,1
2412,2020-11,94,1
2413,2020-11,94,0
2414,2020-11,94,1
2415,2020-11,94,0
2416,2020-11,94,1
2417,2020-11,94,1
2418,2020-11,94,0
2419,2020-11,94,0
2420,2020-11,94,0
2421,2020-11,94,1
2422,2020-11,94,0
2423,2020-11,94,0
2424,2020-11,94,0
2425,2020-11,94,0
2426,2020-11,94,1
2427,2020-11,94,0
2428,2020-11,94,2
2429,2020-11,94,1
2430,2020-11,94,0
2431,2020-11,94,0
2432,2020-11,94,0
2433,2020-11,94,1
2434,2020-11,94,0
2435,2020-11,94,1
2436,2020-11,94,0
2437,2020-11,94,0
2438,2020-11,94,1
2439,2020-11,94,0
2440,2020-11,94,0
2441,2020-11,94,1
2442,2020-11,94,0
2443,2020-11,94,0
2444,2020-11,94,0
2445,2020-11,94,0
2446,2020-11,94,0
2447,2020-11,94,1
2448,2020-11,94,1
2449,2020-11,94,0
2450,2020-11,94,1
2451,2020-11,94,0
2452,2020-11,94,0
2453,2020-11,94,0
2454,2020-11,94,0
2455,2020-11,94,0
2456,2020-11,94,0
2457,2020-11,94,0
2458,2020-11,94,0
2459,2020-11,94,0
2460,2020-11,94,0
2461,2020-11,94,0
2462,2020-11,94,0
2463,2020-11,94,1
2464,2020-11,94,0
2465,2020-11,94,0
2466,2020-11,94,0
2467,2020-11,94,0
2468,2020-11,94,0
2469,2020-11,94,0
2470,2020-11,94,0
2471,2020-11,94,1
2472,2020-11,94,0
2473,2020-11,94,0
2474,2020-11,94,0
2475,2020-11,94,0
2476,2020-11,94,0
2477,2020-11,94,0
2478,2020-11,94,0
2479,2020-11,94,0
2480,2020-11,94,1
2481,2020-11,94,0
2482,2020-11,94,0
2483,2020-11,94,0
2484,2020-11,94,1
2485,2020-11,94,0
2486,2020-11,94,0
2487,2020-11,94,0
2488,2020-11,94,0
2489,2020-11,94,0
2490,2020-11,94,0
2491,2020-11,94,0
2492,2020-11,94,0
2493,2020-11,94,0
2494,2020-11,94,0
2495,2020-11,94,1
2496,2020-11,94,0
2497,2020-11,94,0
2498,2020-11,94,0
2499,2020-11,94,0
2500,2020-11,94,0
2501,2020-11,94,0
2502,2020-11,94,0
2503,2020-11,94,0
2504,2020-11,94,0
2505,2020-11,94,0
2506,2020-11,94,0
2507,2020-11,94,0
2508,2020-11,94,0
2509,2020-11,95,0
2510,2020-11,95,0
2511,2020-11,95,0
2512,2020-11,95,1
2513,2020-11,95,0
2514,2020-11,95,0
2515,2020-11,95,0
2516,2020-11,95,0
2517,2020-11,95,1
2518,2020-11,95,0
2519,2020-11,75,1
2520,2020-12,75,1
2521,2020-12,44,0
2522,2020-12,75,1
2523,2020-12,75,1
2524,2020-12,75,1
2525,2020-12,75,0
2526,2020-12,75,1
2527,2020-12,75,0
2528,2020-12,75,1
2529,2020-12,75,1
2530,2020-12,75,0
2531,2020-12,75,0
2532,2020-12,75,0
2533,2020-12,75,0
2534,2020-12,75,1
2535,2020-12,75,0
2536,2020-12,75,0
2537,2020-12,75,1
2538,2020-12,75,1
2539,2020-12,75,0
2540,2020-12,75,1
2541,2020-12,93,3
2542,2020-12,33,1
2543,2020-12,93,3
2544,2020-12,67,1
2545,2020-12,78,2
2546,2020-12,78,1
2547,2020-12,78,3
2548,2020-12,78,0
2549,2020-12,78,0
2550,2020-12,78,2
2551,2020-12,78,0
2552,2020-12,78,0
2553,2020-12,78,0
2554,2020-12,78,0
2555,2020-12,78,0
2556,2020-12,78,0
2557,2020-12,78,0
2558,2020-12,78,0
2559,2020-12,78,0
2560,2020-12,78,0
2561,2020-12,78,0
2562,2020-12,78,0
2563,2020-12,78,0
2564,2020-12,78,0
2565,2020-12,78,0
2566,2020-12,69,0
2567,2020-12,75,0
2568,2021-01,33,1
2569,2021-01,33,1
2570,2021-01,95,1
2571,2021-01,67,3
2572,2021-01,94,3
2573,2021-01,94,0
2574,2021-01,00,1
2575,2021-01,00,0
2576,2021-01,33,1
2577,2021-01,00,0
2578,2021-01,00,0
2579,2021-01,93,0
2580,2021-01,92,1
2581,2021-01,92,1
2582,2021-01,92,1
2583,2021-01,92,1
2584,2021-01,75,1
2585,2021-01,33,1
2586,2021-01,95,1
2587,2021-01,95,2
2588,2021-01,94,1
2589,2021-01,75,0
2590,2021-01,75,0
2591,2021-01,75,0
2592,2021-01,75,1
2593,2021-01,75,0
2594,2021-01,75,0
