,monthly,lieu_id,territoire,check,status_PRO
12322,2020-12,3198,92,2020-123198,1
12324,2020-12,6318,94,2020-126318,1
12325,2020-12,10492,94,2020-1210492,1
12337,2020-12,3398,92,2020-123398,1
12341,2020-12,9964,67,2020-129964,1
12353,2020-12,2522,75,2020-122522,1
12356,2020-12,2201,67,2020-122201,1
12361,2020-12,5961,78,2020-125961,1
12362,2020-12,5966,78,2020-125966,1
12369,2020-12,7334,78,2020-127334,1
12372,2020-12,7295,78,2020-127295,1
12374,2020-12,5963,78,2020-125963,1
12378,2020-12,6331,78,2020-126331,1
12379,2020-12,7332,78,2020-127332,1
12384,2020-12,7335,78,2020-127335,1
12386,2020-12,5964,78,2020-125964,1
12390,2020-12,7294,78,2020-127294,1
12392,2020-12,7333,78,2020-127333,1
12417,2020-12,6958,75,2020-126958,1
12431,2020-12,2285,67,2020-122285,1
12460,2020-12,1907,33,2020-121907,1
12502,2020-12,10883,67,2020-1210883,1
12503,2020-12,9311,67,2020-129311,1
12521,2020-12,12,75,2020-1212,1
12528,2020-12,4630,33,2020-124630,1
12542,2020-12,3805,78,2020-123805,1
12548,2020-12,5424,44,2020-125424,1
12554,2020-12,7588,67,2020-127588,1
12573,2020-12,1910,33,2020-121910,1
12610,2020-12,3861,92,2020-123861,1
12611,2020-12,3014,92,2020-123014,1
12633,2020-12,7165,78,2020-127165,1
12639,2020-12,3890,33,2020-123890,1
12663,2020-12,2272,67,2020-122272,1
12681,2020-12,6268,33,2020-126268,1
12714,2020-12,6170,33,2020-126170,1
12721,2020-12,4794,33,2020-124794,1
12725,2020-12,10782,78,2020-1210782,1
12780,2020-12,6175,33,2020-126175,1
12783,2020-12,1763,33,2020-121763,1
12787,2020-12,3960,33,2020-123960,1
12793,2020-12,1760,33,2020-121760,1
12795,2020-12,1761,33,2020-121761,1
12801,2020-12,4450,94,2020-124450,1
12825,2020-12,2294,67,2020-122294,1
12830,2020-12,2297,67,2020-122297,1
12834,2020-12,4793,33,2020-124793,1
12840,2020-12,2330,67,2020-122330,1
12844,2020-12,4795,33,2020-124795,1
12849,2020-12,4796,33,2020-124796,1
12850,2020-12,3799,78,2020-123799,1
12853,2020-12,2338,67,2020-122338,1
12855,2020-12,2298,67,2020-122298,1
12863,2020-12,10887,67,2020-1210887,1
12899,2020-12,210,75,2020-12210,1
12955,2020-12,6415,94,2020-126415,1
12958,2020-12,4454,94,2020-124454,1
12965,2020-12,10889,94,2020-1210889,1
12971,2020-12,6393,94,2020-126393,1
12975,2020-12,6398,94,2020-126398,1
